reno-100000-400m,20230922032801.376,10.0.2.20,5001,10.0.1.20,56572,4,0.0-602.5,5340790784,70909221
reno-100000-800m,20230922033819.737,10.0.2.20,5001,10.0.1.20,41284,4,0.0-602.5,4216717312,55985443
reno-1000000-400m,20230922034837.573,10.0.2.20,5001,10.0.1.20,36172,4,0.0-602.0,42313580544,562269515
reno-1000000-800m,20230922035855.948,10.0.2.20,5001,10.0.1.20,49226,4,0.0-602.1,13037338624,173237283
cubic-100000-400m,20230922040914.364,10.0.2.20,5001,10.0.1.20,53490,4,0.0-602.1,6650200064,88361988
cubic-100000-800m,20230922041932.703,10.0.2.20,5001,10.0.1.20,42652,4,0.0-602.0,4042391552,53716505
cubic-1000000-400m,20230922042951.094,10.0.2.20,5001,10.0.1.20,53952,4,0.0-602.1,42269147136,561667416
cubic-1000000-800m,20230922044009.483,10.0.2.20,5001,10.0.1.20,42576,4,0.0-602.0,13018988544,172999178
reno-100000-400m,20230922045028.272,10.0.2.20,5001,10.0.1.20,58336,4,0.0-602.5,5267652608,69948296
reno-100000-800m,20230922050046.312,10.0.2.20,5001,10.0.1.20,35468,4,0.0-602.1,4332978176,57569627
reno-1000000-400m,20230922051104.552,10.0.2.20,5001,10.0.1.20,48430,4,0.0-602.0,42363781120,562937888
reno-1000000-800m,20230922052122.920,10.0.2.20,5001,10.0.1.20,53926,4,0.0-602.1,13035241472,173206440
cubic-100000-400m,20230922053141.275,10.0.2.20,5001,10.0.1.20,55650,4,0.0-602.0,6681001984,88779246
cubic-100000-800m,20230922054200.027,10.0.2.20,5001,10.0.1.20,36426,4,0.0-602.4,4074635264,54107787
cubic-1000000-400m,20230922055217.938,10.0.2.20,5001,10.0.1.20,46266,4,0.0-602.0,42320789504,562362739
cubic-1000000-800m,20230922060236.327,10.0.2.20,5001,10.0.1.20,38640,4,0.0-602.1,13016104960,172956964
reno-100000-400m,20230922061254.655,10.0.2.20,5001,10.0.1.20,37712,4,0.0-602.0,5606604800,74502454
reno-100000-800m,20230922062313.024,10.0.2.20,5001,10.0.1.20,36398,4,0.0-602.0,4284350464,56932607
reno-1000000-400m,20230922063331.341,10.0.2.20,5001,10.0.1.20,55826,4,0.0-602.0,42299686912,562085868
reno-1000000-800m,20230922064349.723,10.0.2.20,5001,10.0.1.20,36748,4,0.0-602.1,13034717184,173201804
cubic-100000-400m,20230922065408.668,10.0.2.20,5001,10.0.1.20,54330,4,0.0-602.7,6734217216,89390703
cubic-100000-800m,20230922070426.421,10.0.2.20,5001,10.0.1.20,39948,4,0.0-602.1,3931504640,52240729
cubic-1000000-400m,20230922071444.794,10.0.2.20,5001,10.0.1.20,58494,4,0.0-602.0,42337566720,562586120
cubic-1000000-800m,20230922072503.122,10.0.2.20,5001,10.0.1.20,37114,4,0.0-602.0,13025280000,173082910
reno-100000-400m,20230922073521.581,10.0.2.20,5001,10.0.1.20,47004,4,0.0-602.2,5328076800,70786415
reno-100000-800m,20230922074540.466,10.0.2.20,5001,10.0.1.20,57700,4,0.0-602.7,4392353792,58306813
reno-1000000-400m,20230922075558.241,10.0.2.20,5001,10.0.1.20,55972,4,0.0-602.1,42323410944,562388558
reno-1000000-800m,20230922080616.598,10.0.2.20,5001,10.0.1.20,45502,4,0.0-602.0,13032488960,173182078
cubic-100000-400m,20230922081635.010,10.0.2.20,5001,10.0.1.20,39520,4,0.0-602.1,6756630528,89776556
cubic-100000-800m,20230922082653.752,10.0.2.20,5001,10.0.1.20,57452,4,0.0-602.5,3980787712,52858965
cubic-1000000-400m,20230922083711.688,10.0.2.20,5001,10.0.1.20,47938,4,0.0-602.0,42234675200,561220183
cubic-1000000-800m,20230922084730.046,10.0.2.20,5001,10.0.1.20,36274,4,0.0-602.1,13020823552,173018689
reno-100000-400m,20230922085748.722,10.0.2.20,5001,10.0.1.20,52556,4,0.0-602.3,5400035328,71720330
reno-100000-800m,20230922090806.857,10.0.2.20,5001,10.0.1.20,48508,4,0.0-602.1,4241620992,56355829
reno-1000000-400m,20230922091825.129,10.0.2.20,5001,10.0.1.20,57924,4,0.0-602.0,42308861952,562210750
reno-1000000-800m,20230922092843.475,10.0.2.20,5001,10.0.1.20,47828,4,0.0-602.0,13031833600,173174454
